Passage,NewID,WordNoPunctuation,WordWithPunctuation,WordClass,PartOfSpeech,surprisal
1,1Aw01,In,In,Function,ADP,3.97294545173645
1,1Aw02,the,the,Function,DET,1.7095648050308228
1,1Aw03,right,right,Content,ADJ,8.748794555664062
1,1Aw04,hands,"hands,",Content,NOUN,2.5134682655334473
1,1Aw05,location,location,Content,NOUN,12.268232345581055
1,1Aw06,data,data,Content,NOUN,3.3815059661865234
1,1Aw07,can,can,Function,AUX,1.3301796913146973
1,1Aw08,be,be,Content,AUX,1.0445250272750854
1,1Aw09,a,a,Function,DET,2.343327760696411
1,1Aw10,force,force,Content,NOUN,7.871179580688477
1,1Aw11,for,for,Function,ADP,0.4975438117980957
1,1Aw12,good,good.,Content,ADJ,0.6711015105247498
1,1Bw01,It,It,Function,PRON,2.83172607421875
1,1Bw02,can,can,Function,AUX,0.8741442561149597
1,1Bw03,provide,provide,Content,VERB,3.323261260986328
1,1Bw04,publishers,publishers,Content,NOUN,11.261636734008789
1,1Bw05,and,and,Function,CCONJ,2.720324754714966
1,1Bw06,app,app,Content,NOUN,6.6497297286987305
1,1Bw07,developers,developers,Content,NOUN,0.3194781541824341
1,1Bw08,with,with,Function,ADP,0.22473053634166718
1,1Bw09,advertising,advertising,Content,NOUN,10.023889541625977
1,1Bw10,revenue,revenue,Content,NOUN,1.4804394245147705
1,1Bw11,so,so,Function,SCONJ,6.682426452636719
1,1Bw12,consumers,consumers,Content,NOUN,6.789161682128906
1,1Bw13,can,can,Function,AUX,0.5372666716575623
1,1Bw14,access,access,Content,VERB,4.273067474365234
1,1Bw15,free,free,Content,ADJ,5.760103225708008
1,1Bw16,services,services,Content,NOUN,2.7174839973449707
1,1Bw17,and,and,Function,CCONJ,1.572555661201477
1,1Bw18,information,information.,Content,NOUN,5.626115083694458
2,2Aw01,Paying,Paying,Content,VERB,10.902284622192383
2,2Aw02,for,for,Function,ADP,2.1270151138305664
2,2Aw03,college,college,Content,NOUN,4.614882469177246
2,2Aw04,seems,seems,Content,VERB,6.847496509552002
2,2Aw05,out,out,Function,ADP,6.225872993469238
2,2Aw06,of,of,Function,ADP,0.0361337848007679
2,2Aw07,reach,reach,Content,NOUN,1.0197755098342896
2,2Aw08,for,for,Function,ADP,0.36975061893463135
2,2Aw09,many,many,Content,ADJ,1.1095305681228638
2,2Aw10,Americans,"Americans,",Content,PROPN,4.2697694301605225
2,2Aw11,so,so,Function,SCONJ,4.740631103515625
2,2Aw12,the,the,Function,DET,2.5795185565948486
2,2Aw13,idea,idea,Content,NOUN,2.8457019329071045
2,2Aw14,of,of,Function,ADP,0.4775351583957672
2,2Aw15,free,free,Content,ADJ,6.498003959655762
2,2Aw16,college,college,Content,NOUN,0.8558889627456665
2,2Aw17,has,has,Content,VERB,2.365621328353882
2,2Aw18,broad,broad,Content,ADJ,8.192375183105469
2,2Aw19,appeal,appeal.,Content,NOUN,1.7758619785308838
2,2Bw01,Several,Several,Content,ADJ,7.501420021057129
2,2Bw02,Democratic,Democratic,Content,ADJ,7.075554847717285
2,2Bw03,presidential,presidential,Content,ADJ,1.8039612770080566
2,2Bw04,candidates,candidates,Content,NOUN,0.17871777713298798
2,2Bw05,and,and,Function,CCONJ,3.1642701625823975
2,2Bw06,members,members,Content,NOUN,3.75154447555542
2,2Bw07,of,of,Function,ADP,0.0010090741561725736
2,2Bw08,Congress,Congress,Content,PROPN,0.2569091320037842
2,2Bw09,have,have,Content,AUX,0.6431801915168762
2,2Bw10,endorsed,endorsed,Content,VERB,4.637967586517334
2,2Bw11,it,it.,Function,PRON,3.7219583988189697
3,3Aw01,Very,Very,Content,ADV,8.397310256958008
3,3Aw02,few,few,Content,ADJ,1.8884189128875732
3,3Aw03,issues,issues,Content,NOUN,6.667760848999023
3,3Aw04,can,can,Function,AUX,2.0416312217712402
3,3Aw05,bring,bring,Content,VERB,4.831937313079834
3,3Aw06,together,together,Content,ADV,4.659270286560059
3,3Aw07,lawmakers,lawmakers,Content,NOUN,9.925043106079102
3,3Aw08,of,of,Function,ADP,4.14699125289917
3,3Aw09,both,both,Function,DET,1.6902389526367188
3,3Aw10,parties,parties.,Content,NOUN,2.075708694756031
3,3Bw01,Animal,Animal,Content,ADJ,12.970293045043945
3,3Bw02,cruelty,cruelty,Content,NOUN,3.6540751457214355
3,3Bw03,is,is,Content,AUX,1.2890183925628662
3,3Bw04,one,one,Function,NUM,1.3848206996917725
3,3Bw05,of,of,Function,ADP,0.36159753799438477
3,3Bw06,them,them.,Function,PRON,0.8135729134082794
4,4Aw01,Koalas,Koalas,Content,PROPN,14.779562890529633
4,4Aw02,have,have,Content,AUX,4.540914535522461
4,4Aw03,been,been,Content,AUX,1.024749517440796
4,4Aw04,running,running,Content,VERB,5.999619483947754
4,4Aw05,into,into,Function,ADP,4.457551002502441
4,4Aw06,hard,hard,Content,ADJ,6.9817328453063965
4,4Aw07,times,times.,Content,NOUN,3.5773534327745438
4,4Bw01,They,They,Function,PRON,2.5713515281677246
4,4Bw02,have,have,Content,AUX,1.6636940240859985
4,4Bw03,suffered,suffered,Content,VERB,4.435967922210693
4,4Bw04,for,for,Function,ADP,4.841180324554443
4,4Bw05,years,years,Content,NOUN,1.3321866989135742
4,4Bw06,from,from,Function,ADP,1.6328418254852295
4,4Bw07,habitat,habitat,Content,NOUN,7.86760139465332
4,4Bw08,destruction,"destruction,",Content,NOUN,3.0403806567192078
4,4Bw09,dog,dog,Content,NOUN,9.176250457763672
4,4Bw10,attacks,"attacks,",Content,NOUN,2.518487811088562
4,4Bw11,automobile,automobile,Content,NOUN,9.340311050415039
4,4Bw12,accidents,accidents.,Content,NOUN,5.736542165279388
5,5Aw01,Some,Some,Function,DET,6.186725616455078
5,5Aw02,recent,recent,Content,ADJ,6.017356872558594
5,5Aw03,reports,reports,Content,NOUN,3.323997735977173
5,5Aw04,have,have,Content,AUX,0.9217214584350586
5,5Aw05,suggested,suggested,Content,VERB,1.1258294582366943
5,5Aw06,that,that,Function,SCONJ,0.24033744633197784
